final_energy,mean_energy,max_energy,oscillation_count,oscillation_index,regression_count,c1_alerts,c2_rejections,final_energy_std,mean_energy_std,max_energy_std,oscillation_count_std,oscillation_index_std,regression_count_std,c1_alerts_std,c2_rejections_std,h_rate,lr,drift_freq,drift_label,ablation,n_seeds
1852.0219337066894,1326.3537404781584,1852.0219337066894,263.1,0.4385,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,11.299999999999999,0.018833333333333334,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.05,0,stationary,full,10
5.779747909495015e+32,7.353282378446527e+30,5.779747909495015e+32,1.2,0.002,481.8,0.0,0.0,1.1486906552953272e+33,1.3853309438596644e+31,1.1486906552953272e+33,0.6000000000000001,0.0009999999999999998,11.53082824431966,0.0,0.0,0.4,0.1,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,263.1,0.4385,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,11.299999999999999,0.018833333333333334,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.1,0,stationary,full,10
3.1024247703116507e+62,2.063522094704309e+60,3.1024247703116507e+62,1.2,0.002,435.7,0.0,0.0,7.176661392538226e+62,4.4458849478934266e+60,7.176661392538226e+62,0.6000000000000001,0.0009999999999999998,9.022749026765624,0.0,0.0,0.4,0.2,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,263.1,0.4385,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,11.299999999999999,0.018833333333333334,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.2,0,stationary,full,10
7.034492153960771e+89,3.387510173965243e+87,7.034492153960771e+89,1.2,0.002,415.2,0.0,0.0,1.6732977309877452e+90,7.454309517132553e+87,1.6732977309877452e+90,0.6000000000000001,0.0009999999999999998,12.456323695216016,0.0,0.0,0.4,0.3,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,263.1,0.4385,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,11.299999999999999,0.018833333333333334,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.3,0,stationary,full,10
4.978863006477331e+138,1.7209618967222325e+136,4.978863006477331e+138,1.2,0.002,399.5,0.0,0.0,1.205554492686417e+139,3.816943502533313e+136,1.205554492686417e+139,0.6000000000000001,0.0009999999999999998,12.978828914813539,0.0,0.0,0.4,0.5,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,263.1,0.4385,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,11.299999999999999,0.018833333333333334,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.5,0,stationary,full,10
2.4222137374746662e+181,7.037512077498315e+178,2.4222137374746662e+181,1.0,0.0016666666666666666,391.3,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,14.04314779527724,0.0,0.0,0.4,0.7,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,263.1,0.4385,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,11.299999999999999,0.018833333333333334,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.7,0,stationary,full,10
6.172597275113139e+236,1.5388371949295591e+234,6.172597275113139e+236,1.0,0.0016666666666666666,386.7,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,14.642745644174797,0.0,0.0,0.4,1.0,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,263.1,0.4385,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,11.299999999999999,0.018833333333333334,8.371977066380438,36.557352201711765,5.119570294468081,0.4,1.0,0,stationary,full,10
2078.8791274353357,339.9212121288809,2079.1565558956613,77.4,0.129,202.3,0.0,0.0,872.6266832669335,135.19628867541317,872.3454167647049,21.81375712709757,0.03635626187849595,22.856290162666383,0.0,0.0,0.5,0.01,0,stationary,none,10
807.86332736902,579.362660924967,813.7125767050582,262.7,0.4378333333333334,58.9,125.8,581.9,1319.1490766214624,946.7316559454301,1320.3966004524248,12.337341690980274,0.020562236151633776,7.313685801290618,27.054759285567485,4.109744517606903,0.5,0.01,0,stationary,full,10
42432465554633.336,1395408557036.7927,42432465862824.21,3.8,0.006333333333333334,422.0,0.0,0.0,44367314584479.516,1369575075989.5586,44367314594497.125,2.5612496949731396,0.004268749491621899,14.642404174178502,0.0,0.0,0.5,0.05,0,stationary,none,10
807.86332736902,579.362660924967,813.7125767050582,262.7,0.4378333333333334,58.9,125.8,581.9,1319.1490766214624,946.7316559454301,1320.3966004524248,12.337341690980274,0.020562236151633776,7.313685801290618,27.054759285567485,4.109744517606903,0.5,0.05,0,stationary,full,10
